Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Aidan,Blum,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Tariq,Elnaga,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,David,Gamble,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Caroline,O'Driscoll,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Blake,Richards,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Derek,Sloan,No Affiliation,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Ron,Voss,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Nadine,Wellwood,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Banff—Airdrie,Sarah,Zagoda,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Daniel,Brisbin,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Jeffrey,Golka,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,John,Irwin,Veterans Coalition Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Damien,Kurek,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Leah,McLeod,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Tonya,Ratushniak,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Battle River—Crowfoot,Dennis,Trepanier,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Orrin,Bliss,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Jonathan,Bridges,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Tom,Lipp,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Michael,MacLean,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Getahun,Shawile,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Bow River,Martin,Shields,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Centre,Juan,Estevez Moreno,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Centre,Sabrina,Grover,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Centre,Greg,McLean,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Centre,Austin,Mullins,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Centre,Dawid,Pawlowski,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Gulshan,Akter,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Edward,Gao,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Kevan,Hunter,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Natalie,Odd,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Murray,Sigler,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Confederation,Len,Webber,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Keira,Gunn,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Jasraj Singh,Hallan,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Dwayne,Holub,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Carey,Rutherford,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Jordan,Stein,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Forest Lawn,Jonathan,Trautman,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Bailey,Bedard,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Bob,Benzen,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Mark,Dejewski,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Scott,Forsyth,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Annelise,Freeman,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Kathleen,Johnson,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Heritage,Malka,Labell,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Gurmit,Bhachu,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Jonathan,Hagel,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Stephanie,Kusie,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Mateusz (Matt),Magolan,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Shaun,Pulsifer,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Midnapore,Zarnab,Zafar,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Newaz Khalis,Ahmed,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Margaret,Askin,Marxist-Leninist Party of Canada,Defeated
