polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor
http://www.wikidata.org/entity/Q1000439,Bud Cullen,male,1927,2005,1,0,0,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1000502,Bud Olson,male,1925,2002,1,0,0,0,0,0,1,0,1,1,0
http://www.wikidata.org/entity/Q1018609,Byron Ingemar Johnson,male,1890,1964,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q10290676,Gordon Chown,male,1922,2002,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1029113,Louis Henry Davies,male,1845,1924,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1063332,Charles Alphonse Pantaléon Pelletier,male,1837,1911,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q1063427,Charles-Noël Barbès,male,1914,2008,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1063889,Charles Caccia,male,1930,2008,1,0,0,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1064038,Charles Dalton,male,1850,1933,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1064596,Charles Granger,male,1912,1995,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1065283,Charles Lapointe,male,1944,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1066165,Charles Stewart,male,1868,1946,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q10808787,Thomas Bain,male,1834,1915,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108312549,Brian Wong,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108312580,Chris Palmer,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108312605,John A. MacDonald,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108312609,John White,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108312621,Kent Smith,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q108635638,Kevin Vuong,male,NA,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q108638234,Brendan Hanley,male,NA,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q111182,Hinrich Bitter-Suermann,male,1940,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q11310716,John Irwin,male,1869,1948,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q113941,Maurice Duplessis,male,1890,1959,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1159124,Dan Miller,male,1944,NA,0,1,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1161268,Daniel J. MacDonald,male,1918,1980,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1173997,David Christie,male,1818,1880,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1174104,David Crombie,male,1936,NA,0,0,1,0,0,0,1,0,0,1,1
http://www.wikidata.org/entity/Q1174772,David Howard Harrison,male,1843,1905,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1175088,David Laird,male,1833,1914,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1175226,David Lewis Macpherson,male,1818,1896,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1175435,David MacDonald,male,1936,NA,0,0,1,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1175688,David Miller,male,1958,NA,0,1,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1176105,David Peterson,male,1943,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q11808396,Heather Klimchuk,female,1958,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q11808407,Bernard Leo Korchinski,male,1905,2006,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q11808596,Yuri Shymko,male,1940,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q119775,Norman Kwong,male,1929,2016,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q12057751,Harold Fisher,male,1877,1928,1,0,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1207881,Edward Schreyer,male,1935,NA,0,1,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1226066,Edgar Benson,male,1923,2011,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1234217,George A. Drew,male,1894,1973,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1239674,Donald Alexander MacKinnon,male,1863,1928,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1239682,Donald Alexander Macdonald,male,1817,1896,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1239989,Don Jamieson,male,1921,1986,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1240138,Don Mazankowski,male,1935,2020,0,0,1,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1240388,Donald Stovel Macdonald,male,1932,2018,1,0,0,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1240412,Donald Tolmie,male,1923,2009,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q124524,Brian Peckford,male,1942,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1249752,Mel Lastman,male,1933,2021,0,0,1,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1251734,Doug Frith,male,1945,2009,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1252114,Douglas Cameron,male,1854,1921,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1256679,Hugues Lapointe,male,1911,1982,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1261300,John Norquay,male,1841,1889,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1267355,Charles Cannon,male,1905,1976,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1277179,Thomas Langton Church,male,1873,1950,0,0,1,0,0,0,0,0,0,1,1
http://www.wikidata.org/entity/Q1282534,Ed Stelmach,male,1951,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q128529,Paul Martin,male,1938,NA,1,0,0,0,0,1,1,1,0,1,0
http://www.wikidata.org/entity/Q128543,Jean Chrétien,male,1934,NA,1,0,0,0,0,1,1,1,0,1,0
http://www.wikidata.org/entity/Q128553,Kim Campbell,female,1947,NA,0,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128563,Brian Mulroney,male,1939,NA,0,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128568,John Turner,male,1929,2020,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q128574,Joe Clark,male,1939,NA,0,0,1,0,0,1,1,0,0,1,0
http://www.wikidata.org/entity/Q128604,Lester B. Pearson,male,1897,1972,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q128614,John Diefenbaker,male,1895,1979,0,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128626,Louis St. Laurent,male,1882,1973,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q128633,William Lyon Mackenzie King,male,1874,1950,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q128641,Richard Bedford Bennett,male,1870,1947,0,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128645,Arthur Meighen,male,1874,1960,0,0,1,0,0,1,0,0,1,1,0
http://www.wikidata.org/entity/Q128655,Robert Borden,male,1854,1937,1,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,male,1841,1919,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q128672,Charles Tupper,male,1821,1915,0,0,1,0,0,1,1,0,0,1,0
http://www.wikidata.org/entity/Q128677,Mackenzie Bowell,male,1823,1917,0,0,1,0,0,1,0,0,1,0,0
http://www.wikidata.org/entity/Q128696,John Abbott,male,1821,1893,0,0,1,0,0,1,0,0,1,1,1
http://www.wikidata.org/entity/Q128702,John A. Macdonald,male,1815,1891,0,0,1,0,0,1,0,0,0,1,0
http://www.wikidata.org/entity/Q128708,Alexander Mackenzie,male,1822,1892,1,0,0,0,0,1,0,1,0,1,0
http://www.wikidata.org/entity/Q1291910,Edward Frederick Clarke,male,1850,1905,0,0,1,0,0,0,0,0,0,1,1
http://www.wikidata.org/entity/Q1292320,Edward Gawler Prior,male,1853,1920,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1292911,Ed Lumley,male,1939,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1292972,James Colebrooke Patterson,male,1839,1929,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1292988,Ted McWhinney,male,1924,2015,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1294585,Jedediah Slason Carvell,male,1832,1894,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1302823,Paul Comtois,male,1895,1966,0,0,1,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1304444,Robert Rogers,male,1864,1936,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1312014,Emerson Coatsworth,male,1854,1943,0,0,1,0,0,0,0,0,0,1,1
http://www.wikidata.org/entity/Q1320474,Otto Lang,male,1932,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q13236404,William Davis Ardagh,male,1828,1893,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1337831,Hugh Plaxton,male,1904,1982,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1338112,Joseph Albert Sullivan,male,1901,1988,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1338850,Gilbert Clements,male,1928,2012,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1340024,Leonard Marchand,male,1933,2016,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q13422721,Teresa Wat,female,1949,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1349835,John Mercer Johnson,male,1818,1868,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q13522650,John Holl,male,1802,1869,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1356090,Sidney Earle Smith,male,1897,1959,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q13569915,John Skoberg,male,1926,2012,0,1,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q13581026,Henry Lemaître Auger,male,1873,1948,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q13582475,Steve Thomson,male,NA,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1359787,Lynda Haverstock,female,1948,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1361397,Otto Jelinek,male,1940,NA,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1361571,Errick Willis,male,1896,1967,0,0,1,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q13648747,Michael John O'Brien,male,1851,1940,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1368799,Thomas Crerar,male,1876,1975,1,0,0,0,0,0,1,0,1,1,0
http://www.wikidata.org/entity/Q137208,Philippe Roy,male,1868,1948,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1373202,Eugene Whelan,male,1924,2013,1,0,0,0,0,0,1,0,1,1,0
http://www.wikidata.org/entity/Q1373480,Eugène Fiset,male,1874,1951,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1374999,Alexander Campbell,male,1822,1892,0,0,1,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q1376329,William Egbert,male,1857,1936,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1378274,Peter Lougheed,male,1928,2012,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1381136,Alexander Cameron Rutherford,male,1857,1941,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1382032,Frank Mahovlich,male,1938,NA,1,0,0,0,0,0,0,0,1,0,0
http://www.wikidata.org/entity/Q138593,Benjamin Rogers,male,1837,1923,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1386356,Jean-Eudes Dubé,male,1926,2019,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1386411,Thomas Walter Scott,male,1867,1938,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1387837,Oliver Mowat,male,1820,1903,1,0,0,0,0,0,1,0,1,0,0
http://www.wikidata.org/entity/Q1389967,John Manley,male,1950,NA,1,0,0,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1391375,Gregor Robertson,male,1965,NA,0,1,0,0,0,0,0,0,0,0,1
http://www.wikidata.org/entity/Q1392736,Patrick Morgan Mahoney,male,1929,2012,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1395297,Ralph Klein,male,1942,2013,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1396012,Kathy Dunderdale,female,1952,NA,0,0,1,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1396220,Paul Okalik,male,1964,NA,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1414410,Jean-Jacques Blais,male,1940,NA,1,0,0,0,0,0,0,0,0,1,0
http://www.wikidata.org/entity/Q1420544,Roland Fairbairn McWilliams,male,1874,1957,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1426465,Gaspard Fauteux,male,1898,1963,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1429267,Flora MacDonald,female,1926,2015,0,0,1,0,0,0,1,0,0,1,0
http://www.wikidata.org/entity/Q1441498,Francis Fox,male,1939,NA,1,0,0,0,0,0,0,0,1,1,0
http://www.wikidata.org/entity/Q1441625,Francis Lawrence Jobin,male,1914,1995,1,0,0,0,0,0,0,0,0,0,0
http://www.wikidata.org/entity/Q1441741,Francis Stillman Barnard,male,1856,1936,0,0,1,0,0,0,0,0,0,1,0
