polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor,qid,url,page_name,page_lang,views_m1,views_m2,views_m3,views_m4,views_m5,views_m6,views_m7,views_m8,views_m9,views_m10,views_m11,views_m12
http://www.wikidata.org/entity/Q1000439,Bud Cullen,male,1927,2005,1,0,0,0,0,0,1,0,0,1,0,Q1000439,https://en.wikipedia.org/wiki/Bud_Cullen,Bud_Cullen,en,184,157,203,203,203,172,144,185,198,139,153,167
http://www.wikidata.org/entity/Q1000502,Bud Olson,male,1925,2002,1,0,0,0,0,0,1,0,1,1,0,Q1000502,https://en.wikipedia.org/wiki/Bud_Olson,Bud_Olson,en,245,298,229,198,245,235,233,267,309,253,161,168
http://www.wikidata.org/entity/Q1018609,Byron Ingemar Johnson,male,1890,1964,1,0,0,0,0,0,0,0,0,0,0,Q1018609,https://en.wikipedia.org/wiki/Boss_Johnson,Boss_Johnson,en,228,331,267,275,256,270,332,230,276,249,257,232
http://www.wikidata.org/entity/Q10290676,Gordon Chown,male,1922,2002,0,0,1,0,0,0,0,0,0,1,0,Q10290676,https://en.wikipedia.org/wiki/Gordon_Chown,Gordon_Chown,en,80,96,108,90,123,84,94,104,102,94,67,70
http://www.wikidata.org/entity/Q1029113,Louis Henry Davies,male,1845,1924,1,0,0,0,0,0,0,0,0,0,0,Q1029113,https://en.wikipedia.org/wiki/Louis_Henry_Davies,Louis_Henry_Davies,en,290,278,219,312,250,212,205,192,276,243,213,185
http://www.wikidata.org/entity/Q1063332,Charles Alphonse Pantaléon Pelletier,male,1837,1911,1,0,0,0,0,0,0,0,1,1,0,Q1063332,https://en.wikipedia.org/wiki/Charles_Alphonse_Pantal%C3%A9on_Pelletier,Charles_Alphonse_Pantal%C3%A9on_Pelletier,en,135,112,128,121,114,101,148,139,164,122,119,114
http://www.wikidata.org/entity/Q1063427,Charles-Noël Barbès,male,1914,2008,1,0,0,0,0,0,0,0,0,1,0,Q1063427,https://en.wikipedia.org/wiki/Charles-No%C3%ABl_Barb%C3%A8s,Charles-No%C3%ABl_Barb%C3%A8s,en,40,33,55,50,40,44,36,38,36,46,46,37
http://www.wikidata.org/entity/Q1063889,Charles Caccia,male,1930,2008,1,0,0,0,0,0,1,0,0,1,0,Q1063889,https://en.wikipedia.org/wiki/Charles_Caccia,Charles_Caccia,en,265,225,266,261,286,239,286,365,524,382,255,268
http://www.wikidata.org/entity/Q1064038,Charles Dalton,male,1850,1933,0,0,1,0,0,0,0,0,0,0,0,Q1064038,https://en.wikipedia.org/wiki/Charles_Dalton,Charles_Dalton,en,194,170,188,181,200,142,160,178,213,205,229,184
http://www.wikidata.org/entity/Q1064596,Charles Granger,male,1912,1995,1,0,0,0,0,0,0,0,0,1,0,Q1064596,https://en.wikipedia.org/wiki/Charles_Granger,Charles_Granger,en,161,87,77,84,91,85,107,103,114,89,85,106
http://www.wikidata.org/entity/Q1065283,Charles Lapointe,male,1944,NA,1,0,0,0,0,0,0,0,0,1,0,Q1065283,https://en.wikipedia.org/wiki/Charles_Lapointe,Charles_Lapointe,en,205,171,184,202,202,237,231,195,271,201,204,210
http://www.wikidata.org/entity/Q1066165,Charles Stewart,male,1868,1946,1,0,0,0,0,0,0,0,0,1,0,Q1066165,https://en.wikipedia.org/wiki/Charles_Stewart_(premier),Charles_Stewart_(premier),en,475,401,499,524,583,495,458,563,450,492,413,486
http://www.wikidata.org/entity/Q10808787,Thomas Bain,male,1834,1915,1,0,0,0,0,0,0,0,0,0,0,Q10808787,https://en.wikipedia.org/wiki/Thomas_Bain,Thomas_Bain,en,162,155,166,182,147,162,164,159,197,177,158,133
http://www.wikidata.org/entity/Q108312549,Brian Wong,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0,Q108312549,https://en.wikipedia.org/wiki/Brian_Wong_(politician),Brian_Wong_(politician),en,0,0,0,0,0,0,0,489,383,318,141,249
http://www.wikidata.org/entity/Q108312580,Chris Palmer,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0,Q108312580,https://en.wikipedia.org/wiki/Chris_Palmer_(Nova_Scotia_politician),Chris_Palmer_(Nova_Scotia_politician),en,0,0,0,0,0,0,0,218,154,236,101,124
http://www.wikidata.org/entity/Q108312605,John A. MacDonald,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0,Q108312605,https://en.wikipedia.org/wiki/John_A._MacDonald_(Nova_Scotia_politician),John_A._MacDonald_(Nova_Scotia_politician),en,0,0,0,0,0,0,0,320,158,366,93,101
http://www.wikidata.org/entity/Q108312609,John White,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0,Q108312609,https://en.wikipedia.org/wiki/John_White_(Nova_Scotia_politician),John_White_(Nova_Scotia_politician),en,0,0,0,0,0,0,0,279,173,236,85,103
http://www.wikidata.org/entity/Q108312621,Kent Smith,male,NA,NA,0,0,1,0,0,0,0,0,0,0,0,Q108312621,https://en.wikipedia.org/wiki/Kent_Smith_(Canadian_politician),Kent_Smith_(Canadian_politician),en,0,0,0,0,0,0,0,287,120,206,95,113
http://www.wikidata.org/entity/Q108635638,Kevin Vuong,male,NA,NA,1,0,0,0,0,0,0,0,0,1,0,Q108635638,https://en.wikipedia.org/wiki/Kevin_Vuong,Kevin_Vuong,en,0,0,0,0,0,0,0,0,29193,8626,4627,2597
http://www.wikidata.org/entity/Q108638234,Brendan Hanley,male,NA,NA,1,0,0,0,0,0,0,0,0,1,0,Q108638234,https://en.wikipedia.org/wiki/Brendan_Hanley,Brendan_Hanley,en,0,0,0,0,0,0,0,0,678,799,617,463
http://www.wikidata.org/entity/Q111182,Hinrich Bitter-Suermann,male,1940,NA,0,0,1,0,0,0,0,0,0,0,0,Q111182,https://en.wikipedia.org/wiki/Hinrich_Bitter-Suermann,Hinrich_Bitter-Suermann,en,189,238,183,193,202,199,252,246,161,242,372,212
http://www.wikidata.org/entity/Q11310716,John Irwin,male,1869,1948,0,0,1,0,0,0,0,0,0,0,0,Q11310716,https://en.wikipedia.org/wiki/John_Irwin_(politician),John_Irwin_(politician),en,80,55,70,67,79,49,54,58,53,74,68,40
http://www.wikidata.org/entity/Q113941,Maurice Duplessis,male,1890,1959,0,0,1,0,0,0,0,0,0,0,0,Q113941,https://en.wikipedia.org/wiki/Maurice_Duplessis,Maurice_Duplessis,en,6930,6099,7405,7119,6744,6539,6601,4787,8488,5931,4826,5774
http://www.wikidata.org/entity/Q1159124,Dan Miller,male,1944,NA,0,1,0,0,0,0,0,0,0,0,0,Q1159124,https://en.wikipedia.org/wiki/Dan_Miller_(Canadian_politician),Dan_Miller_(Canadian_politician),en,477,384,476,504,503,520,536,616,741,615,605,392
http://www.wikidata.org/entity/Q1161268,Daniel J. MacDonald,male,1918,1980,1,0,0,0,0,0,0,0,0,1,0,Q1161268,https://en.wikipedia.org/wiki/Daniel_J._MacDonald,Daniel_J._MacDonald,en,197,154,173,223,217,178,200,176,232,157,189,350
