polit,politLabel,positionLabel,genderLabel,birthyear,deathyear,partyLabel
http://www.wikidata.org/entity/Q661182,Brad Cathers,member of the Yukon Legislative Assembly,male,NA,NA,Yukon Party
http://www.wikidata.org/entity/Q649428,Jon Gerrard,member of the House of Commons of Canada,male,1947,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q649428,Jon Gerrard,member of the House of Commons of Canada,male,1947,NA,Manitoba Liberal Party
http://www.wikidata.org/entity/Q649428,Jon Gerrard,member of the Legislative Assembly of Manitoba,male,1947,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q649428,Jon Gerrard,member of the Legislative Assembly of Manitoba,male,1947,NA,Manitoba Liberal Party
http://www.wikidata.org/entity/Q655512,Stephen Lewis,Leader of the Opposition,male,1937,NA,New Democratic Party
http://www.wikidata.org/entity/Q655512,Stephen Lewis,member of the Ontario Provincial Parliament,male,1937,NA,New Democratic Party
http://www.wikidata.org/entity/Q655512,Stephen Lewis,United Nations Special Envoy for HIV/AIDS in Africa,male,1937,NA,New Democratic Party
http://www.wikidata.org/entity/Q655512,Stephen Lewis,permanent Representative of Canada to the United Nations,male,1937,NA,New Democratic Party
http://www.wikidata.org/entity/Q656467,Janice Sherry,member of the Legislative Assembly of Prince Edward Island,female,1953,NA,Prince Edward Island Liberal Party
http://www.wikidata.org/entity/Q663134,Jean-Marc Robitaille,mayor,male,1955,NA,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q663134,Jean-Marc Robitaille,member of the House of Commons of Canada,male,1955,NA,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q664086,Gabriel Nadeau-Dubois,spokesperson,male,1990,NA,Québec solidaire
http://www.wikidata.org/entity/Q664086,Gabriel Nadeau-Dubois,Member of the National Assembly of Quebec,male,1990,NA,Québec solidaire
http://www.wikidata.org/entity/Q667076,Dean Del Mastro,member of the House of Commons of Canada,male,1970,NA,Independent Conservative
http://www.wikidata.org/entity/Q667076,Dean Del Mastro,Representative of the Parliamentary Assembly of the Council of Europe,male,1970,NA,Independent Conservative
http://www.wikidata.org/entity/Q668271,Elizabeth Marshall,member of the Senate of Canada,female,1951,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q668542,Brian Tobin,Premier of Newfoundland and Labrador,male,1954,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q668542,Brian Tobin,member of the House of Commons of Canada,male,1954,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q668542,Brian Tobin,member of the Newfoundland and Labrador House of Assembly,male,1954,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q669034,Daniel Turp,Member of the National Assembly of Quebec,male,1955,NA,Bloc Québécois
http://www.wikidata.org/entity/Q669034,Daniel Turp,member of the House of Commons of Canada,male,1955,NA,Bloc Québécois
http://www.wikidata.org/entity/Q669355,Lee Richardson,member of the House of Commons of Canada,male,1947,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q669355,Lee Richardson,member of the House of Commons of Canada,male,1947,NA,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,Premier of Quebec,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,leader of the Official Opposition of Quebec,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,Member of the National Assembly of Quebec,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,Solicitor General of Quebec,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,judge of the Quebec Superior Court,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,Bâtonnier de Québec,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q648593,Edmund James Flynn,judge of the Quebec Court of Appeal,male,1847,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q650980,Robert Bourassa,Premier of Quebec,male,1933,1996,Parti libéral du Québec
http://www.wikidata.org/entity/Q650980,Robert Bourassa,Member of the National Assembly of Quebec,male,1933,1996,Parti libéral du Québec
http://www.wikidata.org/entity/Q650980,Robert Bourassa,Minister of Finance,male,1933,1996,Parti libéral du Québec
http://www.wikidata.org/entity/Q651597,Elijah Harper,Minister of Aboriginal and Northern Affairs,male,1949,2013,Liberal Party of Canada
http://www.wikidata.org/entity/Q651597,Elijah Harper,Minister of Aboriginal and Northern Affairs,male,1949,2013,New Democratic Party of Manitoba
http://www.wikidata.org/entity/Q651597,Elijah Harper,member of the House of Commons of Canada,male,1949,2013,Liberal Party of Canada
http://www.wikidata.org/entity/Q651597,Elijah Harper,member of the House of Commons of Canada,male,1949,2013,New Democratic Party of Manitoba
http://www.wikidata.org/entity/Q651597,Elijah Harper,Member of the Executive Council of Manitoba,male,1949,2013,Liberal Party of Canada
http://www.wikidata.org/entity/Q651597,Elijah Harper,Member of the Executive Council of Manitoba,male,1949,2013,New Democratic Party of Manitoba
http://www.wikidata.org/entity/Q651597,Elijah Harper,member of the Legislative Assembly of Manitoba,male,1949,2013,Liberal Party of Canada
http://www.wikidata.org/entity/Q651597,Elijah Harper,member of the Legislative Assembly of Manitoba,male,1949,2013,New Democratic Party of Manitoba
http://www.wikidata.org/entity/Q654362,Charles Gérin-Lajoie,member of the House of Commons of Canada,male,1824,1895,Liberal Party of Canada
http://www.wikidata.org/entity/Q654362,Charles Gérin-Lajoie,member of the House of Commons of Canada,male,1824,1895,Parti rouge
http://www.wikidata.org/entity/Q654966,Jérémie-Louis Décarie,Member of the National Assembly of Quebec,male,1870,1927,Liberal Party of Canada
http://www.wikidata.org/entity/Q654966,Jérémie-Louis Décarie,Member of the National Assembly of Quebec,male,1870,1927,Parti libéral du Québec
http://www.wikidata.org/entity/Q657712,Hewitt Bostock,Speaker of the Senate,male,1864,1930,Liberal Party of Canada
http://www.wikidata.org/entity/Q657712,Hewitt Bostock,member of the House of Commons of Canada,male,1864,1930,Liberal Party of Canada
http://www.wikidata.org/entity/Q657712,Hewitt Bostock,member of the Senate of Canada,male,1864,1930,Liberal Party of Canada
http://www.wikidata.org/entity/Q658758,Fred McCain,member of the House of Commons of Canada,male,1917,1997,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q658758,Fred McCain,member of the Legislative Assembly of New Brunswick,male,1917,1997,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,Speaker of the Senate,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,Premier of Quebec,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,Member of the National Assembly of Quebec,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,member of the House of Commons of Canada,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,member of the Senate of Canada,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660646,Pierre-Joseph-Olivier Chauveau,Member of the Legislative Assembly of the Province of Canada,male,1820,1890,Conservative Party of Quebec
http://www.wikidata.org/entity/Q660983,Joseph-Éloi Fontaine,mayor,male,1865,1930,Liberal Party of Canada
http://www.wikidata.org/entity/Q660983,Joseph-Éloi Fontaine,member of the House of Commons of Canada,male,1865,1930,Liberal Party of Canada
http://www.wikidata.org/entity/Q663451,Thomas Nicholson Gibbs,member of the House of Commons of Canada,male,1821,1883,Liberal-Conservative Party
http://www.wikidata.org/entity/Q663451,Thomas Nicholson Gibbs,member of the Senate of Canada,male,1821,1883,Liberal-Conservative Party
http://www.wikidata.org/entity/Q668183,Léopold Langlois,member of the House of Commons of Canada,male,1913,1996,Liberal Party of Canada
http://www.wikidata.org/entity/Q668183,Léopold Langlois,member of the Senate of Canada,male,1913,1996,Liberal Party of Canada
http://www.wikidata.org/entity/Q668541,Marcel Tremblay,member of the House of Commons of Canada,male,1943,2021,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q669438,William Duff,member of the House of Commons of Canada,male,1872,1953,Liberal Party of Canada
http://www.wikidata.org/entity/Q669438,William Duff,member of the Senate of Canada,male,1872,1953,Liberal Party of Canada
http://www.wikidata.org/entity/Q669955,George-Étienne Cartier,Member of the National Assembly of Quebec,male,1814,1873,Conservative Party of Canada
http://www.wikidata.org/entity/Q669955,George-Étienne Cartier,member of the House of Commons of Canada,male,1814,1873,Conservative Party of Canada
http://www.wikidata.org/entity/Q669955,George-Étienne Cartier,Joint Premier of the Province of Canada for Canada East,male,1814,1873,Conservative Party of Canada
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,President of the Queen's Privy Council for Canada,male,1841,1919,Liberal Party of Canada
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,Member of the National Assembly of Quebec,male,1841,1919,Liberal Party of Canada
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,member of the House of Commons of Canada,male,1841,1919,Liberal Party of Canada
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,leader of the Liberal Party of Canada,male,1841,1919,Liberal Party of Canada
http://www.wikidata.org/entity/Q128664,Wilfrid Laurier,Bâtonnier d'Arthabaska,male,1841,1919,Liberal Party of Canada
http://www.wikidata.org/entity/Q128672,Charles Tupper,ambassador,male,1821,1915,Conservative Party of Canada
http://www.wikidata.org/entity/Q128672,Charles Tupper,ambassador,male,1821,1915,Conservative Party of Canada
http://www.wikidata.org/entity/Q128672,Charles Tupper,Prime Minister of Canada,male,1821,1915,Conservative Party of Canada
