name,party,page_views
Bud Cullen,Liberal,782
Bud Olson,Liberal,1266
Byron Ingemar Johnson,Liberal,1990
Gordon Chown,CPC,415
Louis Henry Davies,Liberal,1210
Richard Ames,CPC,361
Charles Alphonse Pantaléon Pelletier,Liberal,404
Charles-Noël Barbès,Liberal,49
Charles Caccia,Liberal,1849
Charles Dalton,CPC,1079
Charles Granger,Liberal,313
Charles Lapointe,Liberal,907
Charles Stewart,Liberal,1665
Thomas Bain,Liberal,667
Brian Wong,CPC,992
Chris Palmer,CPC,395
John A. MacDonald,CPC,511
John White,CPC,446
Kent Smith,CPC,382
Kevin Vuong,Liberal,42664
Brendan Hanley,Liberal,1918
Hinrich Bitter-Suermann,CPC,1817
John Irwin,CPC,138
Maurice Duplessis,CPC,68540
Dan Miller,NDP,4372
Daniel J. MacDonald,Liberal,1063
David Christie,Liberal,476
David Crombie,CPC,19244
David Howard Harrison,CPC,530
David Laird,Liberal,2489
David Lewis Macpherson,CPC,828
David MacDonald,CPC,2387
David Miller,NDP,26453
David Peterson,Liberal,21680
Heather Klimchuk,CPC,629
Bernard Leo Korchinski,Liberal,133
Yuri Shymko,CPC,2073
Norman Kwong,CPC,12415
Harold Fisher,Liberal,450
Edward Schreyer,NDP,24110
Edgar Benson,Liberal,1750
George A. Drew,CPC,6814
Donald Alexander MacKinnon,Liberal,271
Donald Alexander Macdonald,Liberal,912
Don Jamieson,Liberal,1628
Don Mazankowski,CPC,6216
Donald Stovel Macdonald,Liberal,3901
Donald Tolmie,Liberal,89
Brian Peckford,CPC,11104
Mel Lastman,CPC,78481
Doug Frith,Liberal,720
Douglas Cameron,Liberal,384
Hugues Lapointe,Liberal,1259
John Norquay,CPC,3684
Charles Cannon,Liberal,116
Thomas Langton Church,CPC,941
Ed Stelmach,CPC,14667
Paul Martin,Liberal,196436
Jean Chrétien,Liberal,341611
Kim Campbell,CPC,258824
Brian Mulroney,CPC,265535
John Turner,Liberal,129975
Joe Clark,CPC,179131
Lester B. Pearson,Liberal,149964
John Diefenbaker,CPC,121840
Louis St. Laurent,Liberal,74423
William Lyon Mackenzie King,Liberal,244732
Richard Bedford Bennett,CPC,49628
Arthur Meighen,CPC,42201
Robert Borden,CPC,77821
Wilfrid Laurier,Liberal,146173
Charles Tupper,CPC,47456
Mackenzie Bowell,CPC,29415
John Sparrow David Thompson,Liberal,30161
John Abbott,CPC,101599
John A. Macdonald,CPC,351289
Alexander Mackenzie,Liberal,45647
Edward Frederick Clarke,CPC,653
Edward Gawler Prior,CPC,822
Ed Lumley,Liberal,1229
James Colebrooke Patterson,CPC,333
Ted McWhinney,Liberal,1084
Jedediah Slason Carvell,CPC,193
Alexander Tilloch Galt,Liberal,6847
Paul Comtois,CPC,1085
Robert Rogers,CPC,408
Emerson Coatsworth,CPC,374
Otto Lang,Liberal,7354
William Davis Ardagh,CPC,156
Hugh Plaxton,Liberal,302
Joseph Albert Sullivan,CPC,413
Gilbert Clements,Liberal,370
Leonard Marchand,Liberal,6177
Teresa Wat,Liberal,2053
John Mercer Johnson,Liberal,4568
John Holl,CPC,303
Sidney Earle Smith,CPC,1768
John Skoberg,NDP,113
Henry Lemaître Auger,CPC,161
Steve Thomson,Liberal,814
Lynda Haverstock,Liberal,1996
Otto Jelinek,CPC,3588
Errick Willis,CPC,499
Michael John O'Brien,Liberal,1049
Thomas Crerar,Liberal,2142
Philippe Roy,Liberal,399
Eugene Whelan,Liberal,2595
Eugène Fiset,Liberal,736
Alexander Campbell,CPC,4680
William Egbert,Liberal,376
Peter Lougheed,CPC,24769
William McDougall,Liberal,1955
Alexander Cameron Rutherford,Liberal,6389
Frank Mahovlich,Liberal,45481
Benjamin Rogers,Liberal,153
Jean-Eudes Dubé,Liberal,421
Thomas Walter Scott,Liberal,1227
Oliver Mowat,Liberal,12182
John Manley,Liberal,14324
Gregor Robertson,NDP,41533
Patrick Morgan Mahoney,Liberal,1515
Ralph Klein,CPC,43907
Kathy Dunderdale,CPC,5416
Paul Okalik,Liberal,5062
Jean-Jacques Blais,Liberal,681
Roland Fairbairn McWilliams,Liberal,282
Gaspard Fauteux,Liberal,712
Flora MacDonald,CPC,10648
Francis Fox,Liberal,2779
Francis Lawrence Jobin,Liberal,331
Francis Stillman Barnard,CPC,513
T. Franklin Ahearn,Liberal,734
Frank Arthur Calder,NDP,357
Frank Lindsay Bastedo,CPC,1853
Frank Richard Heartz,Liberal,123
François Langelier,Liberal,430
Frederick Johnson,Liberal,483
Harlan Carey Brewster,Liberal,800
Laurier LaPierre,Liberal,2918
John Christian Schultz,Liberal,3183
James Alexander Calder,CPC,559
Peter Adams,Liberal,1341
